Row(s),Column,feedback
NYC_GOID_000139,PrincipalOfficerGivenName,"Set to ""Vilda Vera"""
NYC_GOID_000143,PrincipalOfficerFamilyName,"Set to ""Aviles-Ramos"""
NYC_GOID_000143,PrincipalOfficerFullName,"Set to "Melissa Aviles-Ramos"
NYC_GOID_000236,PrincipalOfficerGivenName,"Set to ""Lisa"""
NYC_GOID_000236,PrincipalOfficerFamilyName,"Set to ""Kersavage"""
NYC_GOID_000236,PrincipalOfficerFullName,Set to "Lisa Kersavage"
NYC_GOID_000236,PrincipalOfficerTitle,"Set to ""Executive Director"""
NYC_GOID_000264,PrincipalOfficerGivenName,"Set to ""Kim"""
NYC_GOID_000264,PrincipalOfficerFamilyName,"Set to ""Yu"""
NYC_GOID_000264,PrincipalOfficerFullName,Set to "Kim Yu"
NYC_GOID_000276,PrincipalOfficerGivenName,"Set to ""Marc"""
NYC_GOID_000276,PrincipalOfficerFamilyName,"Set to ""Heinrich"""
NYC_GOID_000276,PrincipalOfficerFullName,Set to "Marc Heinrich"
NYC_GOID_000356,PrincipalOfficerGivenName,"Set to ""Eva"""
NYC_GOID_000356,PrincipalOfficerFamilyName,"Set to ""Wong"""
NYC_GOID_000356,PrincipalOfficerFullName,Set to "Eva Wong"
NYC_GOID_000003,URL,"Set to ""https://www.nyc.gov/office-of-the-mayor/news/267-23/mayor-adams-advisory-board-help-guide-city-s-implementation-racial-justice-charter"""
NYC_GOID_000016,URL,"Set to ""https://esd.ny.gov/atlantic-yards-community-development-corporation"""
NYC_GOID_000081,URL,"Set to ""https://www.momaps1.org/"""
NYC_GOID_000098,URL,"Set to ""https://www.nyc.gov/content/planning/pages/commission"""
NYC_GOID_000116,URL,"Set to ""https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page"""
NYC_GOID_000201,URL,"Set to ""https://www.nyc.gov/site/getstuffbuilt/initiatives/get-stuff-built.page"""
NYC_GOID_000217,URL,"Set to ""https://www1.nyc.gov/site/housingrecovery/index.page"""
NYC_GOID_000222,URL,"Set to ""https://www.ibo.nyc.ny.us/"""
NYC_GOID_000248,URL,"Set to ""https://www.nyc.gov/site/fund/index.page"""
NYC_GOID_000309,URL,"Set to ""https://www.nyc.gov/assets/mwbe/?page=mwbe-advisory-council"""
NYC_GOID_000318,URL,"Set to ""https://www.nychealthandhospitals.org/"""
NYC_GOID_000026,ReportsTo,"Set to """""
NYC_GOID_000027,ReportsTo,"Set to """""
NYC_GOID_000028,ReportsTo,"Set to """""
NYC_GOID_000029,ReportsTo,"Set to """""
NYC_GOID_000030,ReportsTo,"Set to """""
NYC_GOID_000097,ReportsTo,"Set to """""
NYC_GOID_000123,ReportsTo,"Set to """""
NYC_GOID_000168,ReportsTo,"Set to """""
NYC_GOID_000169,ReportsTo,"Set to """""
NYC_GOID_000170,ReportsTo,"Set to """""
NYC_GOID_000171,ReportsTo,"Set to """""
NYC_GOID_000172,ReportsTo,"Set to """""
NYC_GOID_000222,ReportsTo,"Set to """""
NYC_GOID_000251,ReportsTo,"Set to """""
NYC_GOID_000396,ReportsTo,"Set to """""
NYC_GOID_000143,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000374,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000382,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000246,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000128,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000226,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000226,AlternateOrFormerNames,Set to "Mayor's Office of Office of Intergovernmental Affairs"
NYC_GOID_000185,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000193,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000238,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000148,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000389,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000164,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000166,ReportsTo,"Set to ""Mayor"""
NYC_GOID_000251,BudgetCode,"Set to ""002"""
