Row(s),Column,feedback,reason
NEW,name,"Set to ""Example Organization Name""","Add new entity - description of why this entity should be added"
NEW,name_alphabetized,"Set to ""Example Organization Name""","Add new entity - alphabetized name (usually same as name)"
NEW,operational_status,"Set to ""Active""","Add new entity - current operational status"
NEW,organization_type,"Set to ""Mayoral Agency""","Add new entity - organization type classification"
NEW,url,"Set to ""https://example.nyc.gov""","Add new entity - official website URL"
NEW,acronym,"Set to ""EO""","Add new entity - official acronym if applicable"
NEW,alternate_or_former_names,"Set to ""Former Name; Old Name""","Add new entity - alternate or former names"
NEW,alternate_or_former_acronyms,"Set to ""OLD""","Add new entity - alternate or former acronyms"
NEW,principal_officer_title,"Set to ""Commissioner""","Add new entity - principal officer title"
NEW,principal_officer_full_name,"Set to ""John Doe""","Add new entity - principal officer full name"
NEW,principal_officer_first_name,"Set to ""John""","Add new entity - principal officer first name"
NEW,principal_officer_last_name,"Set to ""Doe""","Add new entity - principal officer last name"
NEW,principal_officer_contact_url,"Set to ""https://example.nyc.gov/contact""","Add new entity - principal officer contact URL"
NEW,reports_to,"Set to ""Mayor's Office""","Add new entity - reporting/oversight relationship (Phase I field)"
NEW,in_org_chart,"Set to ""True""","Add new entity - flag for org chart inclusion"
NYC_GOID_000001,name,"Set to ""Updated Organization Name""","Update existing entity - reason for change"
NYC_GOID_000001,operational_status,"Set to ""Inactive""","Update existing entity - reason for status change"
